Episode,Reward,Length,Epsilon,Termination,Loss
93,-99.19253240286588,1000,0.01999089815867558,out-of-view,1.0138210234344005
94,-126.56662407868617,1000,0.01999089815867558,out-of-view,0.9207775211334228
95,-56.269277327020916,1000,0.01999089815867558,out-of-view,0.954679949581623
96,-104.58727859550403,1000,0.01999089815867558,out-of-view,0.9225265997350216
97,-102.83410409633281,1000,0.01999089815867558,out-of-view,0.9204050717055797
98,-57.97852970025506,1000,0.01999089815867558,out-of-view,0.9036969971358776
99,-32.463256239166114,1000,0.01999089815867558,out-of-view,0.9338418861627579
0,-181.61455092431055,85,0.9583802792808146,crash,1.3052451269967216
1,-347.6904624879563,121,0.9021037362650792,crash,2.0884217102665548
2,-118.72177612424275,138,0.8419429567700932,crash,1.6690956505312435
3,-227.11640839232095,153,0.7799213905557423,crash,1.803325995121127
4,-240.28131568778343,112,0.7374358700713607,crash,1.7652505194502217
5,-198.88963332051932,81,0.7081592517292976,crash,1.7106508671501537
6,-151.52445939541758,119,0.6672428817993363,crash,1.7460451188708555
7,-184.51766387283476,106,0.6327914252317368,crash,1.512699136194193
8,-97.89470843151457,106,0.6001187854818283,crash,1.6216340469864179
9,-101.63497092242544,101,0.570558087223565,crash,1.6064402939069389
10,-85.00778496589874,135,0.5333074577092141,crash,1.47796813359967
11,-298.5046740974602,171,0.4895941190882885,crash,1.380074471758123
12,-316.3364726045123,152,0.4537551399027171,crash,1.5101384577390395
13,-76.02781244353292,140,0.423071081918255,crash,1.4246548090662274
14,-177.4580036505322,113,0.3998246506337294,crash,1.3090918043018442
15,-91.63991733149639,333,0.33848657750427275,crash,1.2225441084251747
16,-117.1810629008482,1000,0.2052768173941036,out-of-view,1.0712084754705429
17,-109.41599402612117,1000,0.12449111592591955,out-of-view,0.9326640139520168
18,-76.67799875092659,1000,0.07549823765401918,out-of-view,0.9061621810197831
19,-66.35296084812076,1000,0.04578627034120755,out-of-view,1.0190196049511433
20,-80.92348531991101,1000,0.027767304468285684,out-of-view,1.0347091105878352
21,94.89757999702722,1000,0.01999089815867558,out-of-view,1.0353848535716534
22,-173.89721934424864,689,0.01999089815867558,crash,1.0585744543587694
23,-119.91066261950374,144,0.01999089815867558,crash,1.2148359064012766
24,-13.484829503378677,1000,0.01999089815867558,out-of-view,1.0530103734433651
25,-134.97421134233795,60,0.01999089815867558,crash,1.047911673784256
26,-251.22876035752515,454,0.01999089815867558,crash,1.1409143409671236
27,-91.38900199395702,141,0.01999089815867558,crash,1.1638382740900026
28,-126.81948961023332,92,0.01999089815867558,crash,1.1015831374603768
29,-124.79122213736578,235,0.01999089815867558,crash,1.2105608204577831
30,-214.3355056898012,534,0.01999089815867558,crash,1.135407255606705
31,-76.14727361617159,104,0.01999089815867558,crash,1.1465997618551438
32,-46.465063207552134,76,0.01999089815867558,crash,1.0533106095696751
33,-122.5967706528704,265,0.01999089815867558,crash,1.1493754299181813
34,-165.4712460460489,535,0.01999089815867558,crash,1.1706064288861284
35,-137.43248538515718,226,0.01999089815867558,crash,1.1283380407675179
36,-238.88045508141352,897,0.01999089815867558,crash,1.1004451299989502
37,-184.69936700940076,455,0.01999089815867558,crash,1.1254743633689461
38,-123.98782951364721,1000,0.01999089815867558,out-of-view,1.1112760398387909
39,-230.96229292849773,951,0.01999089815867558,crash,1.0791456591255657
40,-226.4735177434626,932,0.01999089815867558,crash,1.0208353168399038
41,-191.12284998553136,629,0.01999089815867558,crash,1.042455217654451
42,-81.58444627713558,1000,0.01999089815867558,out-of-view,1.0369603061676025
43,-104.78814855030735,1000,0.01999089815867558,out-of-view,1.0496531786620618
44,-242.91422832919673,775,0.01999089815867558,crash,0.9979982307649428
45,-135.35564266854135,1000,0.01999089815867558,out-of-view,0.9968768782615661
46,-54.51491714098616,1000,0.01999089815867558,out-of-view,0.9665303708016872
47,-136.98940390294442,1000,0.01999089815867558,out-of-view,0.9412086150944233
48,-35.88965801909862,220,0.01999089815867558,crash,0.892051973938942
49,-36.68685556486521,1000,0.01999089815867558,out-of-view,0.9316755824387074
50,-96.34448131510696,1000,0.01999089815867558,out-of-view,0.8804329409897328
51,-35.777358264491944,1000,0.01999089815867558,out-of-view,0.8973814371228218
52,-25.99211182647116,1000,0.01999089815867558,out-of-view,0.9034921295642853
