Episode,Reward,Length,Epsilon
409,-183.2256189913277,103,0.12807462877562611
410,-139.81440848267204,225,0.12743425563174798
411,-40.54879507176737,205,0.12679708435358925
412,-70.69902068172719,175,0.1261630989318213
413,-182.69333380231194,396,0.1255322834371622
414,-24.629746654800414,161,0.12490462201997637
415,-3.939726110110513,99,0.1242800989098765
416,-183.8073998738849,163,0.12365869841532712
417,-153.32861867138493,250,0.12304040492325048
418,-360.1131499059465,703,0.12242520289863423
419,-187.70441846287224,681,0.12181307688414106
420,-160.65196328304935,1000,0.12120401149972035
421,-137.8900665740169,1000,0.12059799144222175
422,-79.0708183797644,80,0.11999500148501063
423,-183.63030708239165,262,0.11939502647758558
424,-125.1720228987019,236,0.11879805134519765
425,-163.7250994170923,128,0.11820406108847166
426,-230.28910538437955,566,0.1176130407830293
427,-63.82869520764862,236,0.11702497557911415
428,-309.8942588742456,599,0.11643985070121858
429,-44.435368573091935,244,0.11585765144771248
430,-127.16735783856842,175,0.11527836319047392
431,-196.24491681678847,199,0.11470197137452155
432,-272.6857077872316,507,0.11412846151764894
433,-338.38529245935933,893,0.1135578192100607
434,-175.5439782671507,336,0.11299003011401039
435,-136.5276476778213,115,0.11242507996344034
436,-50.09368248720915,156,0.11186295456362313
437,-309.0321385817593,687,0.11130363979080501
438,-64.67146203592756,175,0.11074712159185099
439,-174.64420515316834,238,0.11019338598389174
440,-199.02954741701544,691,0.10964241905397228
441,-140.74197602076657,143,0.10909420695870241
442,-218.8757921287936,1000,0.1085487359239089
443,-323.8069751422353,694,0.10800599224428936
444,-188.09030853152314,451,0.10746596228306791
445,-125.02584810718253,1000,0.10692863247165257
446,-262.1375122854414,666,0.1063939893092943
447,-205.8967387790126,121,0.10586201936274783
448,5.988041690057372,95,0.10533270926593409
449,-281.74611324627796,883,0.10480604571960442
450,-126.30717924560581,1000,0.1042820154910064
451,-132.0396716215435,137,0.10376060541355137
452,-160.58860676793785,461,0.1032418023864836
453,-360.0580212863166,582,0.10272559337455119
454,-241.56509070513644,285,0.10221196540767843
455,-196.30107510311277,353,0.10170090558064004
456,-269.0669162083667,924,0.10119240105273684
457,-76.88438577455506,302,0.10068643904747315
458,-109.40101653231787,118,0.10018300685223579
459,-122.12061126023403,271,0.0996820918179746
460,-315.29438186607206,633,0.09918368135888474
461,-237.67933756141034,443,0.09868776295209031
462,-302.89252108086293,731,0.09819432413732986
463,-80.75675843333896,1000,0.09770335251664321
464,-288.9799364518226,774,0.09721483575406
465,-125.18307783674786,1000,0.09672876157528969
466,-336.52242736089846,523,0.09624511776741324
467,-207.76978859472956,97,0.09576389217857617
468,-223.86328979641155,598,0.09528507271768329
469,-114.63886298354006,114,0.09480864735409487
470,-66.3114276670912,1000,0.0943346041173244
471,-29.193471317004494,132,0.09386293109673778
472,-176.11760807846738,1000,0.09339361644125409
473,-128.53832090266746,1000,0.09292664835904782
474,-94.30639027435703,306,0.09246201511725258
475,-194.9071574264844,361,0.09199970504166631
476,-408.7448709724552,832,0.09153970651645797
477,-225.6866390564618,152,0.09108200798387568
478,-331.2946767466719,671,0.0906265979439563
479,-250.15867004718027,693,0.09017346495423652
480,-11.287327058771425,118,0.08972259762946533
481,-122.60014606624691,1000,0.089273984641318
482,-148.10526128828337,1000,0.0888276147181114
483,-98.68341217021754,1000,0.08838347664452084
484,-102.98022983843798,106,0.08794155926129824
485,-274.79891755087385,843,0.08750185146499175
486,-294.9775170933971,527,0.08706434220766679
487,-81.6267214661738,348,0.08662902049662846
488,-220.25373108101212,1000,0.08619587539414532
489,-217.68478386791162,230,0.08576489601717459
490,-120.60564549459806,247,0.08533607153708872
491,-114.91077466561654,203,0.08490939117940327
492,-48.45280492982256,244,0.08448484422350626
493,-183.73499211184836,186,0.08406242000238873
494,-331.38633102674737,951,0.08364210790237678
495,-59.31565142426966,611,0.0832238973628649
496,-127.10883983885941,1000,0.08280777787605056
497,-118.56913320180406,271,0.08239373898667031
498,-216.93993453934314,349,0.08198177029173696
499,-401.22094003651114,746,0.08157186144027828
500,-414.73902443783004,430,0.0811640021330769
501,-122.98066552065954,138,0.08075818212241151
502,-106.7949863916729,194,0.08035439121179945
503,-180.32101926974747,268,0.07995261925574046
504,-320.74229186929404,985,0.07955285615946175
505,-7.280554794280661,173,0.07915509187866444
506,-204.55919593582092,221,0.07875931641927113
507,-207.68345522252295,583,0.07836551983717477
508,-310.070419358874,299,0.07797369223798889
509,-193.70152677759359,300,0.07758382377679894
510,-289.932422175499,585,0.07719590465791494
511,-158.9999396707442,1000,0.07680992513462537
512,-236.8984126246147,308,0.07642587550895225
513,-180.33478993161228,254,0.07604374613140748
514,-135.9982245030235,1000,0.07566352740075044
515,-160.854493070467,151,0.07528520976374668
516,-101.27950114011466,1000,0.07490878371492794
517,-51.6907205452174,110,0.0745342397963533
518,-296.67578259743675,672,0.07416156859737154
519,-170.25129703141187,1000,0.07379076075438468
520,-116.65613180965316,150,0.07342180695061275
521,-136.37777523272155,386,0.07305469791585968
522,-159.23161340309025,382,0.07268942442628039
523,-17.472838588672573,98,0.07232597730414898
524,-130.69018139888757,118,0.07196434741762824
525,-125.27596672766947,207,0.0716045256805401
526,-155.13272702518913,363,0.0712465030521374
527,-69.57488857063028,1000,0.0708902705368767
528,-285.1521513559253,684,0.07053581918419231
529,-117.74789333297122,262,0.07018314008827135
530,-145.92098645351794,501,0.06983222438783
531,-153.98267163070238,1000,0.06948306326589085
532,18.207709710794603,122,0.0691356479495614
533,-180.35007531020244,268,0.06878996970981359
534,-262.0452795489505,838,0.06844601986126451
535,-313.7504698449517,990,0.06810378976195819
536,-137.09432411987865,339,0.0677632708131484
537,-211.25549801736992,1000,0.06742445445908266
538,-267.9259420357869,454,0.06708733218678724
539,-86.50063890909813,1000,0.0667518955258533
540,-147.1466679583457,149,0.06641813604822402
541,-92.10554831391882,1000,0.0660860453679829
542,-153.30947374956966,1000,0.06575561514114299
543,-144.7332451969537,323,0.06542683706543727
544,-170.67585816595957,139,0.06509970288011008
545,-170.23202574601424,355,0.06477420436570952
546,-208.4509852672229,136,0.06445033334388098
547,-71.25005805600277,1000,0.06412808167716157
548,-274.2436871415724,414,0.06380744126877576
549,-158.69142088490605,238,0.06348840406243188
550,-245.1457290281885,822,0.06317096204211972
551,-222.19496512826515,666,0.06285510723190912
552,-278.6773002597839,364,0.06254083169574957
553,-118.11723549272145,1000,0.062228127537270826
554,18.094515611321896,217,0.06191698689958447
555,-159.05471126300094,105,0.061607401965086545
556,-108.97665568516702,172,0.06129936495526111
557,-76.01067387838509,1000,0.0609928681304848
558,-153.7101968315464,111,0.060687903789832374
559,-239.9941494810248,805,0.06038446427088321
560,-358.7823076832738,659,0.06008254194952879
561,-92.4818806981975,113,0.05978212923978115
562,-97.39976756820103,1000,0.05948321859358224
563,-146.81091431866136,586,0.05918580250061433
564,-327.9541169086354,886,0.058889873488111255
565,-248.0413513501089,404,0.058595424120670696
